representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
bge_generic,outcome,2129,2,0.8364331052901148,0.8119750265976804,0.8607413496926792,0.5,0.8393612024424613,0.5937059652418976
gte_generic,system,2129,107,0.5588402470350331,0.539945021724873,0.5779349877350514,0.009345794392523364,0.5589478628464067,0.009394081728511038
gte_generic,model,1191,36,0.5944632386247984,0.5664380388030934,0.6260064234316342,0.027777777777777776,0.5096557514693535,0.18387909319899245
gte_generic,vendor,1591,8,0.5922814466361151,0.5561237393852858,0.6325873784013445,0.125,0.5235700817096166,0.6115650534255186
gte_generic,harness,2069,61,0.7013842036300425,0.6781804776627361,0.7274447316763006,0.01639344262295082,0.624939584340261,0.07733204446592556
gte_generic,task,2129,20,0.9887364704301753,0.9759885356316558,0.9994511278195489,0.05,0.9887271019257867,0.050258337247534056
gte_generic,outcome,2129,2,0.8467778224921343,0.8209540841308063,0.8713555724070532,0.5,0.8496946923438234,0.5937059652418976
e5_generic,system,2129,107,0.6238153795704214,0.6062857620503521,0.6445079794501831,0.009345794392523364,0.6237670267731329,0.009394081728511038
e5_generic,model,1191,36,0.642167700636969,0.6135349011212587,0.6703650647840116,0.027777777777777776,0.5743073047858942,0.18387909319899245
e5_generic,vendor,1591,8,0.6579931231577306,0.622427823984553,0.6919543758576262,0.125,0.5600251414204902,0.6115650534255186
e5_generic,harness,2069,61,0.7672723446108128,0.7463832318040876,0.791171759570432,0.01639344262295082,0.6964717254712421,0.07733204446592556
e5_generic,task,2129,20,0.991081735815469,0.9793799034040406,0.9994511278195489,0.05,0.9910756223579145,0.050258337247534056
e5_generic,outcome,2129,2,0.845744311114363,0.8220548225561692,0.8686433973791127,0.5,0.8506341005166745,0.5937059652418976
mpnet_generic,system,2129,107,0.42575285565939774,0.405749749235651,0.44989923211455424,0.009345794392523364,0.42555190230155004,0.009394081728511038
mpnet_generic,model,1191,36,0.4944422919443949,0.4656427019316227,0.5243245067301356,0.027777777777777776,0.39378673383711166,0.18387909319899245
mpnet_generic,vendor,1591,8,0.5181014508421062,0.47975254114590227,0.5602971941669574,0.125,0.44940289126335636,0.6115650534255186
mpnet_generic,harness,2069,61,0.5681457856522842,0.5412546744628824,0.598497662100503,0.01639344262295082,0.4736587723537941,0.07733204446592556
mpnet_generic,task,2129,20,0.9896843590195733,0.9781257620573562,0.9989420406137081,0.05,0.9896665100986378,0.050258337247534056
mpnet_generic,outcome,2129,2,0.8432789749030511,0.815291116422656,0.868848005269867,0.5,0.8464067637388445,0.5937059652418976
minilm_generic,system,2129,107,0.450961906323441,0.4248134598568071,0.4793748894868654,0.009345794392523364,0.45091592296852984,0.009394081728511038
minilm_generic,model,1191,36,0.525830586557425,0.503050695034561,0.5452449945410313,0.027777777777777776,0.4147774979009236,0.18387909319899245
minilm_generic,vendor,1591,8,0.5302076353511292,0.49348598316222203,0.569481410494519,0.125,0.39472030169704586,0.6115650534255186
minilm_generic,harness,2069,61,0.5919673347955996,0.5657881297188452,0.61707998579638,0.01639344262295082,0.4987916868052199,0.07733204446592556
minilm_generic,task,2129,20,0.9877974825973416,0.9749054200555235,0.9989420406137081,0.05,0.9877876937529356,0.050258337247534056
minilm_generic,outcome,2129,2,0.8412105802297505,0.8177229163439385,0.8648089691908195,0.5,0.8454673555659934,0.5937059652418976
