representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
nomic_raw,model,1191,36,0.8194375214149607,0.8003866007954419,0.842268421024955,0.027777777777777776,0.7548278757346767,0.18387909319899245
nomic_raw,vendor,1591,8,0.8974732412740701,0.8753311651612821,0.9190434813312689,0.125,0.8164676304211188,0.6115650534255186
nomic_raw,harness,2069,61,0.9146985122464584,0.901363107185314,0.9276171954255371,0.01639344262295082,0.9014016433059449,0.07733204446592556
nomic_raw,task,2129,20,0.9830894022218304,0.9738853951462483,0.9902819559203956,0.05,0.9830906528886801,0.050258337247534056
nomic_raw,outcome,2129,2,0.7843487049096363,0.7634404201446068,0.806754422540836,0.5,0.7961484264913105,0.5937059652418976
bge_qubric,system,2129,107,0.1566431655462644,0.13880291368883999,0.17486008635295408,0.009345794392523364,0.15641146077970877,0.009394081728511038
bge_qubric,model,1191,36,0.2356072197749379,0.20665224126709872,0.26862176299275714,0.027777777777777776,0.18219983207388749,0.18387909319899245
bge_qubric,vendor,1591,8,0.3347789758897829,0.29469288902027835,0.3669100493879536,0.125,0.23318667504714016,0.6115650534255186
bge_qubric,harness,2069,61,0.22791275108080297,0.20631905510434478,0.2490986487418331,0.01639344262295082,0.1875302078298695,0.07733204446592556
bge_qubric,task,2129,20,0.9887408788237568,0.9836077862668438,0.9934096025551213,0.05,0.9887271019257867,0.050258337247534056
bge_qubric,outcome,2129,2,0.8470229384649155,0.827730786405924,0.8666931132337766,0.5,0.8534523250352278,0.5937059652418976
bge_raw,system,2129,107,0.734751598622725,0.7171969518870017,0.7527597540901916,0.009345794392523364,0.7350868952559887,0.009394081728511038
bge_raw,model,1191,36,0.7926756451044483,0.7694251617074053,0.8157321552549562,0.027777777777777776,0.7145256087321579,0.18387909319899245
bge_raw,vendor,1591,8,0.7948722809529816,0.7619970987175243,0.8276035281058673,0.125,0.7184160905091138,0.6115650534255186
bge_raw,harness,2069,61,0.8572506013543545,0.843391883196529,0.8726502343603533,0.01639344262295082,0.8757854035766071,0.07733204446592556
bge_raw,task,2129,20,0.9520450747747523,0.9301539821032355,0.9711208496069885,0.05,0.9520901831845937,0.050258337247534056
bge_raw,outcome,2129,2,0.780940403892588,0.7613268372399761,0.8021295762850777,0.5,0.791451385627055,0.5937059652418976
gte_qubric,system,2129,107,0.1701945674154233,0.15166050103842157,0.189099711781745,0.009345794392523364,0.1700328792860498,0.009394081728511038
gte_qubric,model,1191,36,0.23362004102135683,0.20645695461420438,0.25983843574473414,0.027777777777777776,0.1746431570109152,0.18387909319899245
gte_qubric,vendor,1591,8,0.32728461412774834,0.28561246670464585,0.3674361115204661,0.125,0.28975487115022,0.6115650534255186
gte_qubric,harness,2069,61,0.22624009429237638,0.20156496008689154,0.25008835865378654,0.01639344262295082,0.19139681005316578,0.07733204446592556
gte_qubric,task,2129,20,0.9892125769369644,0.9844179536355258,0.9941129149679674,0.05,0.9891968060122123,0.050258337247534056
gte_qubric,outcome,2129,2,0.8364344772078729,0.8145426839200193,0.8582336811141884,0.5,0.8421794269610146,0.5937059652418976
gte_raw,system,2129,107,0.7744411652183418,0.7547930149269088,0.7919189500689603,0.009345794392523364,0.7745420385157351,0.009394081728511038
gte_raw,model,1191,36,0.8043724887091865,0.7872632336578703,0.8214462238576984,0.027777777777777776,0.7195633921074727,0.18387909319899245
gte_raw,vendor,1591,8,0.8346537673435938,0.8072792815223561,0.8575264168975401,0.125,0.7844123192960403,0.6115650534255186
